UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
1734935165.0,7559,1150158,7559,21,7560,175,499165,1.29271e+11
1734935165.5,7559,1150193,7558,54,7559,12,499147,1.29275e+11
1734935166.0,7559,1150231,7558,33,7559,30,499167,1.29279e+11
1734935166.5,7559,1150263,7558,48,7559,60,499190,1.29283e+11
1734935167.0,7558,1150292,7558,18,7559,56,499204,1.29286e+11
1734935167.5,7559,1150318,7557,30,7559,69,499196,1.29289e+11
1734935168.0,7559,1150345,7557,72,7558,8,499189,1.29292e+11
1734935168.5,7559,1150401,7558,16,7559,45,499171,1.29298e+11
1734935169.0,7559,1150429,7558,21,7559,32,499155,1.29302e+11
1734935169.5,7558,1150475,7558,24,7559,29,499148,1.29307e+11
1734935170.0,7558,1150490,7558,15,7559,47,499143,1.29309e+11
1734935170.5,7559,1150528,7558,7,7559,25,499150,1.29313e+11
1734935171.0,7558,1150543,7557,67,7558,2,499154,1.29315e+11
1734935171.5,7558,1150551,7557,64,7558,25,499157,1.29315e+11
1734935172.0,7558,1150565,7557,26,7558,71,499167,1.29317e+11
1734935172.5,7557,1150591,7556,56,7557,127,499163,1.2932e+11
1734935173.0,7557,1150626,7556,37,7557,113,499178,1.29324e+11
1734935173.5,7557,1150641,7556,25,7557,112,499178,1.29326e+11
1734935174.0,7557,1150672,7556,30,7557,122,499176,1.29329e+11
1734935174.5,7556,1150692,7556,37,7557,110,499171,1.29331e+11
1734935175.0,7557,1150724,7556,37,7557,100,499153,1.29335e+11
1734935175.5,7556,1150756,7556,10,7557,100,499134,1.29339e+11
1734935176.0,7556,1150779,7556,34,7557,98,499135,1.29341e+11
1734935176.5,7556,1150792,7556,44,7557,98,499141,1.29343e+11
1734935177.0,7556,1150805,7556,39,7557,93,499141,1.29344e+11
1734935177.5,7556,1150849,7555,239,7556,59,499128,1.29349e+11
1734935178.0,7556,1150875,7555,212,7556,57,499127,1.29352e+11
1734935178.5,7556,1150889,7555,210,7556,60,499121,1.29354e+11
1734935179.0,7556,1150895,7555,211,7556,57,499121,1.29354e+11
1734935179.5,7555,1150917,7555,201,7556,48,499124,1.29357e+11
1734935180.0,7556,1150979,7555,155,7556,37,499120,1.29364e+11
1734935180.5,7556,1150995,7555,151,7556,30,499125,1.29366e+11
1734935181.0,7555,1151006,7555,146,7556,28,499129,1.29367e+11
1734935181.5,7555,1151028,7555,132,7556,27,499136,1.2937e+11
1734935182.0,7556,1151055,7555,114,7556,22,499142,1.29373e+11
1734935182.5,7555,1151080,7555,95,7556,19,499155,1.29375e+11
1734935183.0,7556,1151114,7556,6,7557,104,499172,1.29379e+11
1734935183.5,7557,1151124,7556,14,7557,99,499176,1.2938e+11
1734935184.0,7556,1151132,7556,16,7557,95,499177,1.29381e+11
1734935184.5,7557,1151153,7556,60,7557,89,499189,1.29384e+11
1734935185.0,7557,1151166,7556,61,7557,75,499181,1.29385e+11
1734935185.5,7557,1151184,7556,51,7557,69,499189,1.29387e+11
1734935186.0,7556,1151199,7556,42,7557,66,499190,1.29389e+11
1734935186.5,7557,1151224,7556,57,7557,46,499199,1.29392e+11
1734935187.0,7556,1151251,7556,60,7557,22,499212,1.29395e+11
1734935187.5,7557,1151285,7557,5,7558,70,499210,1.29399e+11
1734935188.0,7558,1151308,7557,25,7558,59,499222,1.29401e+11
1734935188.5,7557,1151317,7557,25,7558,54,499223,1.29402e+11
1734935189.0,7558,1151330,7557,50,7558,43,499233,1.29404e+11
1734935189.5,7558,1151362,7557,51,7558,5,499247,1.29407e+11
1734935190.0,7558,1151378,7558,37,7559,51,499244,1.29409e+11
1734935190.5,7558,1151402,7558,32,7559,22,499247,1.29412e+11
1734935191.0,7559,1151410,7558,69,7559,19,499248,1.29413e+11
1734935191.5,7559,1151446,7559,5,7560,134,499243,1.29417e+11
1734935192.0,7559,1151458,7559,44,7560,126,499247,1.29418e+11
1734935192.5,7560,1151479,7559,33,7560,120,499238,1.29421e+11
1734935193.0,7560,1151494,7559,35,7560,117,499235,1.29422e+11
1734935193.5,7559,1151517,7559,19,7560,107,499255,1.29425e+11
1734935194.0,7559,1151536,7559,23,7560,94,499256,1.29427e+11
1734935194.5,7560,1151555,7559,35,7560,86,499259,1.29429e+11
1734935195.0,7560,1151563,7559,38,7560,81,499258,1.2943e+11
1734935195.5,7559,1151584,7559,35,7560,75,499264,1.29433e+11
1734935196.0,7560,1151604,7559,28,7560,65,499264,1.29435e+11
1734935196.5,7560,1151627,7559,30,7560,61,499263,1.29437e+11
1734935197.0,7560,1151635,7559,47,7560,65,499264,1.29438e+11
1734935197.5,7559,1151668,7559,36,7560,59,499281,1.29442e+11
1734935198.0,7560,1151679,7559,31,7560,60,499291,1.29443e+11
1734935198.5,7560,1151746,7560,46,7561,202,499321,1.29451e+11
1734935199.0,7560,1151782,7560,19,7561,208,499353,1.29455e+11
1734935199.5,7560,1151833,7559,20,7560,17,499380,1.29461e+11
1734935200.0,7559,1151851,7559,44,7560,10,499381,1.29463e+11
1734935200.5,7559,1151875,7559,39,7560,1,499392,1.29466e+11
1734935201.0,7559,1151894,7559,38,7561,190,499401,1.29468e+11
1734935201.5,7561,1151905,7560,7,7561,192,499400,1.29469e+11
1734935202.0,7560,1151916,7560,6,7561,189,499398,1.2947e+11
1734935202.5,7560,1151928,7559,47,7560,10,499404,1.29472e+11
1734935203.0,7559,1151936,7559,47,7560,8,499409,1.29473e+11
1734935203.5,7560,1151949,7559,46,7560,21,499415,1.29474e+11
1734935204.0,7559,1151970,7559,38,7560,12,499417,1.29476e+11
1734935204.5,7560,1152027,7560,5,7561,160,499418,1.29483e+11
1734935205.0,7561,1152038,7560,38,7561,154,499419,1.29484e+11
1734935205.5,7561,1152069,7560,39,7561,142,499415,1.29488e+11
1734935206.0,7561,1152105,7560,14,7561,138,499405,1.29492e+11
1734935206.5,7560,1152143,7560,1,7561,115,499407,1.29496e+11
1734935207.0,7560,1152186,7560,28,7561,87,499376,1.29501e+11
1734935207.5,7560,1152244,7560,41,7561,37,499367,1.29507e+11
1734935208.0,7561,1152372,7561,139,7562,39,499428,1.29522e+11
1734935208.5,7563,1152454,7562,230,7563,107,499438,1.29531e+11
1734935209.0,7563,1152598,7563,52,7564,43,499480,1.29548e+11
1734935209.5,7563,1152607,7563,42,7564,39,499488,1.29549e+11
1734935210.0,7564,1152654,7563,9,7564,39,499500,1.29554e+11
1734935210.5,7562,1152677,7562,188,7563,6,499505,1.29557e+11
1734935211.0,7564,1152721,7563,7,7564,23,499480,1.29562e+11
1734935211.5,7563,1152747,7563,7,7564,39,499484,1.29564e+11
1734935212.0,7564,1152777,7563,8,7564,53,499495,1.29568e+11
1734935212.5,7563,1152795,7562,85,7563,1,499503,1.2957e+11
1734935213.0,7563,1152805,7562,97,7563,43,499509,1.29571e+11
1734935213.5,7563,1152816,7562,63,7563,57,499511,1.29572e+11
1734935214.0,7563,1152824,7562,53,7563,72,499514,1.29573e+11
1734935214.5,7562,1152835,7562,14,7563,72,499510,1.29574e+11
1734935215.0,7562,1152861,7561,30,7562,37,499522,1.29577e+11
1734935215.5,7562,1152879,7561,24,7562,34,499511,1.29579e+11
1734935216.0,7562,1152892,7561,22,7562,56,499508,1.29581e+11
1734935216.5,7562,1152896,7561,12,7562,57,499510,1.29581e+11
1734935217.0,7562,1152913,7561,17,7562,43,499514,1.29583e+11
1734935217.5,7562,1152923,7561,20,7562,36,499513,1.29584e+11
1734935218.0,7561,1153037,7561,16,7563,23,499544,1.29597e+11
1734935218.5,7561,1153059,7561,35,7562,23,499545,1.296e+11
1734935219.0,7561,1153071,7561,39,7562,24,499543,1.29601e+11
1734935219.5,7561,1153073,7561,42,7562,18,499541,1.29601e+11
1734935220.0,7561,1153084,7561,42,7562,11,499540,1.29603e+11
1734935220.5,7561,1153108,7561,26,7562,21,499554,1.29605e+11
1734935221.0,7561,1153220,7560,103,7561,1,499546,1.29618e+11
1734935221.5,7560,1153233,7560,119,7561,44,499544,1.2962e+11
1734935222.0,7561,1153236,7560,118,7561,40,499544,1.2962e+11
1734935222.5,7561,1153244,7560,121,7561,32,499547,1.29621e+11
1734935223.0,7561,1153282,7561,7,7562,53,499566,1.29625e+11
