UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
1734935164.5,20090,124625,20090,88,20095,81,175414,1.25071e+10
1734935166.5,20090,124625,20090,88,20095,81,175414,1.25071e+10
1734935167.0,20090,124625,20090,88,20095,82,175414,1.25071e+10
1734935169.0,20090,124627,20090,86,20095,82,175414,1.25073e+10
1734935169.5,20090,124640,20090,73,20095,83,175405,1.25086e+10
1734935170.0,20090,124640,20090,77,20095,84,175405,1.25086e+10
1734935170.5,20090,124640,20090,77,20095,85,175405,1.25086e+10
1734935171.0,20090,124640,20090,78,20095,85,175405,1.25086e+10
1734935171.5,20090,124644,20090,52,20095,85,175405,1.2509e+10
1734935172.0,20090,124658,20090,23,20095,91,175404,1.25104e+10
1734935172.5,20090,124680,20085,117,20090,3,175400,1.25126e+10
1734935173.0,20090,124688,20090,10,20095,112,175394,1.25134e+10
1734935173.5,20090,124694,20090,25,20095,120,175391,1.2514e+10
1734935174.0,20090,124695,20090,24,20095,106,175392,1.25141e+10
1734935174.5,20090,124695,20090,24,20095,104,175392,1.25141e+10
1734935175.0,20090,124695,20090,27,20095,104,175392,1.25141e+10
1734935175.5,20090,124695,20090,27,20095,103,175392,1.25141e+10
1734935176.0,20090,124696,20090,26,20095,103,175393,1.25142e+10
1734935176.5,20090,124722,20085,130,20090,1,175391,1.25169e+10
1734935177.0,20090,124729,20085,133,20090,16,175386,1.25176e+10
1734935177.5,20090,124729,20085,127,20090,18,175386,1.25176e+10
1734935178.0,20090,124729,20085,117,20090,19,175386,1.25176e+10
1734935178.5,20090,124729,20085,117,20090,25,175386,1.25176e+10
1734935179.0,20090,124729,20085,117,20090,30,175386,1.25176e+10
1734935179.5,20090,124729,20085,117,20090,30,175386,1.25176e+10
1734935180.0,20090,124733,20085,113,20090,26,175386,1.2518e+10
1734935180.5,20090,124733,20085,114,20090,26,175386,1.2518e+10
1734935184.5,20090,124733,20085,114,20090,26,175386,1.2518e+10
1734935185.0,20090,124733,20085,114,20090,26,175386,1.2518e+10
1734935185.5,20090,124733,20085,114,20090,28,175386,1.2518e+10
1734935187.0,20090,124733,20085,114,20090,40,175386,1.2518e+10
1734935187.5,20090,124733,20085,114,20090,91,175386,1.2518e+10
1734935188.0,20090,124733,20085,104,20090,94,175386,1.2518e+10
1734935188.5,20090,124733,20085,104,20090,94,175386,1.2518e+10
1734935189.5,20090,124733,20085,104,20090,95,175386,1.2518e+10
1734935192.5,20090,124733,20085,104,20090,96,175386,1.2518e+10
1734935193.0,20090,124733,20085,104,20090,96,175386,1.2518e+10
1734935193.5,20085,124734,20085,103,20090,96,175385,1.25181e+10
1734935194.0,20085,124734,20085,77,20090,96,175385,1.25181e+10
1734935194.5,20085,124734,20085,67,20090,96,175385,1.25181e+10
1734935195.0,20085,124781,20085,18,20090,98,175407,1.25228e+10
